pullup-pesocorporal | Dominada | back | peso_corporal | compound
bench-wrist-extension-pesarusa | Extensión de muñeca en banco (Pesa rusa) | triceps | pesa_rusa | compound
tricep-extension-pesocorporal | Extensión de tríceps | triceps | peso_corporal | isolation
laying-tricep-extensions-barra | Extensión de tríceps acostado | triceps | barra | isolation
standing-tricep-extension-pesarusa | Extensión de tríceps de pie | triceps | pesa_rusa | isolation
knee-tricep-extension-pesocorporal | Extensión de tríceps en rodillas | triceps | peso_corporal | isolation
overhead-tricep-extension-banda | Extensión de tríceps por encima de la cabeza (Banda) | triceps | banda | isolation
overhead-tricep-extension-barra | Extensión de tríceps por encima de la cabeza (Barra) | triceps | barra | isolation
overhead-tricep-extension-polea | Extensión de tríceps por encima de la cabeza (Cable) | triceps | cable | isolation
overhead-tricep-extension-disco | Extensión de tríceps por encima de la cabeza (Disco) | triceps | disco | isolation
overhead-tricep-extension-mancuerna | Extensión de tríceps por encima de la cabeza (Mancuerna) | triceps | mancuerna | isolation
overhead-tricep-extension-maquina | Extensión de tríceps por encima de la cabeza (Máquina) | triceps | maquina | isolation
overhead-tricep-extension-pesarusa | Extensión de tríceps por encima de la cabeza (Pesa rusa) | triceps | pesa_rusa | isolation
pushdown-banda | Jalón de tríceps | triceps | banda | isolation
single-arm-pushdown-banda | Jalón de tríceps a un brazo (Banda) | triceps | banda | isolation
single-arm-pushdown-polea | Jalón de tríceps a un brazo (Cable) | triceps | cable | isolation
bar-pushdown-polea | Jalón de tríceps con barra | triceps | cable | isolation
cross-pushdown-polea | Jalón de tríceps cruzado | triceps | cable | isolation
tricep-pushdown-maquina | Jalón de tríceps en máquina | triceps | maquina | isolation
oblique-pushdown-polea | Jalón de tríceps oblicuo | triceps | cable | isolation
tricep-kickback-banda | Patada de tríceps (Banda) | triceps | banda | isolation
tricep-kickback-polea | Patada de tríceps (Cable) | triceps | cable | isolation
tricep-kickback-mancuerna | Patada de tríceps (Mancuerna) | triceps | mancuerna | isolation
guillotine-bench-press-mancuerna | Press de banca guillotina (Mancuerna) | triceps | mancuerna | compound
guillotine-bench-press-multipower | Press de banca guillotina (Multipower) | triceps | multipower | compound
guillotine-bench-press-pesarusa | Press de banca guillotina (Pesa rusa) | triceps | pesa_rusa | compound
overhead-tricep-press-polea | Press de tríceps por encima de la cabeza | triceps | cable | compound
tricep-guillotine-press-barra | Press guillotina de tríceps (Barra) | triceps | barra | compound
tricep-guillotine-press-mancuerna | Press guillotina de tríceps (Mancuerna) | triceps | mancuerna | compound
skullcrusher-banda | Rompecráneos (Banda) | triceps | banda | compound
skullcrusher-barra | Rompecráneos (Barra) | triceps | barra | compound
skullcrusher-polea | Rompecráneos (Cable) | triceps | cable | compound
skullcrusher-mancuerna | Rompecráneos (Mancuerna) | triceps | mancuerna | compound
skullcrusher-multipower | Rompecráneos (Multipower) | triceps | multipower | compound
skullcrusher-trx | Rompecráneos (TRX) | triceps | trx | compound
single-arm-skullcrusher-banda | Rompecráneos a un brazo (Banda) | triceps | banda | compound
single-arm-skullcrusher-polea | Rompecráneos a un brazo (Cable) | triceps | cable | compound
single-arm-skullcrusher-mancuerna | Rompecráneos a un brazo (Mancuerna) | triceps | mancuerna | compound
bar-skullcrusher-polea | Rompecráneos con barra en polea | triceps | cable | compound
decline-skullcrusher-mancuerna | Rompecráneos declinado | triceps | mancuerna | compound
ring-skullcrusher-pesocorporal | Rompecráneos en anillas | triceps | peso_corporal | compound
incline-skullcrusher-mancuerna | Rompecráneos inclinado | triceps | mancuerna | compound
